Abraham_Lincoln
Albert_Sidney_Johnston
Alp_Arslan
Amalaric
Ahab
Abner
Agrippina_the_Younger
Alaric_II
Alboin
Alexander_I_of_Epirus
Alexander_of_Pherae
Alexander_I_of_Serbia
Severus_Alexander
Alexios_II_Komnenos
Amalasuntha
Anacharsis
Archimedes
Archimedean_solid
Adalbert_of_Prague
Ahmad_Shah_Massoud
Amnon
Berry_Berenson
Barbara_Olson
Burhanuddin_Rabbani
Christopher_Marlowe
Cicero
Claudius
Cuboctahedron
Carolyn_Beug
Charles_Edward_Jones
Constans
Caligula
Charles_d'Abancour
Causantín_mac_Cináeda
Constantine_II_(emperor)
David_Angell
Domitian
Denis_Auguste_Affre
David_Huffman
Évariste_Galois
Engelbert_Dollfuss
Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
Edmund_I
Emperor_Sushun
Emperor_Ankō
Felix_Hausdorff
Francisco_I._Madero
Frédéric_Bazille
Garnet_Bailey
Galba
Gallienus
Grigori_Rasputin
Huldrych_Zwingli
Hans-Dietrich_Genscher
Elagabalus
Hafizullah_Amin
Henry_Moseley
Icosidodecahedron
Indira_Gandhi
Isoroku_Yamamoto
James_Cook
John_Lennon
Julius_Caesar
J._G._Ballard
Jeffrey_Dahmer
James_Clavell
John_Cade
Julian_(emperor)
Jean-Paul_Sartre
J._E._B._Stuart
Joe_Orton
Kamikaze
Kurt_Vonnegut
Konrad_Lorenz
Kurt_Schwitters
Lee_Harvey_Oswald
Leon_Trotsky
Lavr_Kornilov
LeRoy_Homer_Jr.
Lulach
Mehmed_the_Conqueror
Mahatma_Gandhi
Marc_Bloch
Tacitus_(emperor)
Mark_Bingham
Murad_I
Martin_Luther_King_Jr.
Meir_Kahane
Mohammad_Najibullah
Mychal_Judge
Macbeth,_King_of_Scotland
Madeline_Amy_Sweeney
Macrinus
Moctezuma_II
Malcolm_X
Malcolm_III_of_Scotland
Nuremberg_trials
Osama_bin_Laden
Osman_II
Orlando_Letelier
Pompey
Pope_Benedict_VI
Reinhard_Heydrich
Robert_Johnson
Rajiv_Gandhi
Rehavam_Ze'evi
Rhombicuboctahedron
Richard_III_of_England
Ralph_Abercromby
Richard_I_of_England
Sennacherib
Shaka
